method,mean_accuracy,mean_logloss,mean_brier_draw,mean_p_draw_actual_draws,mean_max_p_draw_actual_draws,mean_predicted_draws,total_predicted_draws,total_actual_draws
baseline,0.2576576576576577,1.004442336286602,0.17454286988992726,0.2678650235011611,0.35605563729500983,2.0,6,125
calibrated,0.2576576576576577,1.0148702586884095,0.17475782497241552,0.26833434098977843,0.3653483134053322,2.0,6,125
