alpha,fold,weight_catboost,weight_poisson,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1,predicted_draws,actual_draws
0.1,Fold 1,0.0,1.0,93,0.41935483870967744,1.0504894132925344,0.0,0.0,0.0,0,26
0.1,Fold 1,0.05,0.95,93,0.41935483870967744,1.0502172705895887,0.0,0.0,0.0,0,26
0.1,Fold 1,0.1,0.9,93,0.41935483870967744,1.050035779362708,0.0,0.0,0.0,0,26
0.1,Fold 1,0.15000000000000002,0.85,93,0.41935483870967744,1.0499437196691497,0.0,0.0,0.0,0,26
0.1,Fold 1,0.2,0.8,93,0.41935483870967744,1.0499401586485677,0.0,0.0,0.0,0,26
0.1,Fold 1,0.25,0.75,93,0.41935483870967744,1.0500244272157897,0.0,0.0,0.0,0,26
0.1,Fold 1,0.30000000000000004,0.7,93,0.41935483870967744,1.0501961023114021,0.0,0.0,0.0,0,26
0.1,Fold 1,0.35000000000000003,0.6499999999999999,93,0.43010752688172044,1.0504549938237953,0.0,0.0,0.0,0,26
0.1,Fold 1,0.4,0.6,93,0.43010752688172044,1.050801135541,0.0,0.0,0.0,0,26
0.1,Fold 1,0.45,0.55,93,0.44086021505376344,1.0512347796817396,0.0,0.0,0.0,0,26
0.1,Fold 1,0.5,0.5,93,0.44086021505376344,1.051756394709842,0.0,0.0,0.0,0,26
0.1,Fold 1,0.55,0.44999999999999996,93,0.44086021505376344,1.0523666662673512,0.0,0.0,0.0,0,26
0.1,Fold 1,0.6000000000000001,0.3999999999999999,93,0.44086021505376344,1.0530665011792408,0.0,0.0,0.0,0,26
0.1,Fold 1,0.65,0.35,93,0.43010752688172044,1.053857034594936,0.0,0.0,0.0,0,26
0.1,Fold 1,0.7000000000000001,0.29999999999999993,93,0.41935483870967744,1.0547396404465865,0.0,0.0,0.0,0,26
0.1,Fold 1,0.75,0.25,93,0.40860215053763443,1.0557159455290517,0.0,0.0,0.0,0,26
0.1,Fold 1,0.8,0.19999999999999996,93,0.40860215053763443,1.0567878476508104,0.0,0.0,0.0,0,26
0.1,Fold 1,0.8500000000000001,0.1499999999999999,93,0.40860215053763443,1.0579575384794289,0.0,0.0,0.0,0,26
0.1,Fold 1,0.9,0.09999999999999998,93,0.41935483870967744,1.0592275319242936,0.0,0.0,0.0,0,26
0.1,Fold 1,0.9500000000000001,0.04999999999999993,93,0.41935483870967744,1.060600699182764,0.0,0.0,0.0,1,26
0.1,Fold 1,1.0,0.0,93,0.40860215053763443,1.0620803119518725,0.0,0.0,0.0,1,26
0.1,Fold 2,0.0,1.0,93,0.46236559139784944,1.0517359552278984,0.0,0.0,0.0,0,28
0.1,Fold 2,0.05,0.95,93,0.46236559139784944,1.0513957782110364,0.0,0.0,0.0,0,28
0.1,Fold 2,0.1,0.9,93,0.46236559139784944,1.0511327759886713,0.0,0.0,0.0,0,28
0.1,Fold 2,0.15000000000000002,0.85,93,0.45161290322580644,1.050944291068161,0.0,0.0,0.0,0,28
0.1,Fold 2,0.2,0.8,93,0.45161290322580644,1.0508280080796903,0.0,0.0,0.0,0,28
0.1,Fold 2,0.25,0.75,93,0.45161290322580644,1.0507819085173011,0.0,0.0,0.0,0,28
0.1,Fold 2,0.30000000000000004,0.7,93,0.45161290322580644,1.0508042338693324,0.0,0.0,0.0,0,28
0.1,Fold 2,0.35000000000000003,0.6499999999999999,93,0.45161290322580644,1.0508934553856515,0.0,0.0,0.0,0,28
0.1,Fold 2,0.4,0.6,93,0.45161290322580644,1.0510482491565303,0.0,0.0,0.0,0,28
0.1,Fold 2,0.45,0.55,93,0.45161290322580644,1.0512674754907392,0.0,0.0,0.0,0,28
0.1,Fold 2,0.5,0.5,93,0.45161290322580644,1.0515501618123644,0.0,0.0,0.0,0,28
0.1,Fold 2,0.55,0.44999999999999996,93,0.44086021505376344,1.0518954884700866,0.0,0.0,0.0,0,28
0.1,Fold 2,0.6000000000000001,0.3999999999999999,93,0.45161290322580644,1.0523027769852364,0.0,0.0,0.0,0,28
0.1,Fold 2,0.65,0.35,93,0.45161290322580644,1.0527714803671613,0.0,0.0,0.0,0,28
0.1,Fold 2,0.7000000000000001,0.29999999999999993,93,0.45161290322580644,1.0533011752042647,0.0,0.0,0.0,0,28
0.1,Fold 2,0.75,0.25,93,0.45161290322580644,1.05389155530242,0.0,0.0,0.0,0,28
0.1,Fold 2,0.8,0.19999999999999996,93,0.46236559139784944,1.0545424266934948,0.0,0.0,0.0,0,28
0.1,Fold 2,0.8500000000000001,0.1499999999999999,93,0.46236559139784944,1.0552537038787138,0.0,0.0,0.0,0,28
0.1,Fold 2,0.9,0.09999999999999998,93,0.46236559139784944,1.056025407206942,0.0,0.0,0.0,0,28
0.1,Fold 2,0.9500000000000001,0.04999999999999993,93,0.46236559139784944,1.0568576613186056,0.0,0.0,0.0,0,28
0.1,Fold 2,1.0,0.0,93,0.46236559139784944,1.0577506946134505,0.0,0.0,0.0,0,28
0.1,Fold 3,0.0,1.0,93,0.5913978494623656,0.9465179678403836,0.0,0.0,0.0,0,24
0.1,Fold 3,0.05,0.95,93,0.5913978494623656,0.9437665231448531,0.0,0.0,0.0,0,24
0.1,Fold 3,0.1,0.9,93,0.5913978494623656,0.9411155118733847,0.0,0.0,0.0,0,24
0.1,Fold 3,0.15000000000000002,0.85,93,0.5913978494623656,0.9385632890652726,0.0,0.0,0.0,0,24
0.1,Fold 3,0.2,0.8,93,0.6021505376344086,0.9361084009945793,0.0,0.0,0.0,0,24
0.1,Fold 3,0.25,0.75,93,0.6021505376344086,0.933749574120169,0.0,0.0,0.0,0,24
0.1,Fold 3,0.30000000000000004,0.7,93,0.5913978494623656,0.9314857058522584,0.0,0.0,0.0,0,24
0.1,Fold 3,0.35000000000000003,0.6499999999999999,93,0.5806451612903226,0.9293158569304341,0.0,0.0,0.0,1,24
0.1,Fold 3,0.4,0.6,93,0.5806451612903226,0.9272392452503617,0.0,0.0,0.0,1,24
0.1,Fold 3,0.45,0.55,93,0.5806451612903226,0.9252552410116628,0.0,0.0,0.0,1,24
0.1,Fold 3,0.5,0.5,93,0.5806451612903226,0.9233633630893223,0.0,0.0,0.0,1,24
0.1,Fold 3,0.55,0.44999999999999996,93,0.5806451612903226,0.9215632765569691,0.0,0.0,0.0,1,24
0.1,Fold 3,0.6000000000000001,0.3999999999999999,93,0.5806451612903226,0.919854791313438,0.0,0.0,0.0,1,24
0.1,Fold 3,0.65,0.35,93,0.5806451612903226,0.9182378617852126,0.0,0.0,0.0,1,24
0.1,Fold 3,0.7000000000000001,0.29999999999999993,93,0.5698924731182796,0.9167125876973223,0.0,0.0,0.0,2,24
0.1,Fold 3,0.75,0.25,93,0.5591397849462365,0.9152792159248542,0.0,0.0,0.0,2,24
0.1,Fold 3,0.8,0.19999999999999996,93,0.5806451612903226,0.9139381434570129,0.5,0.08333333333333333,0.14285714285714285,4,24
0.1,Fold 3,0.8500000000000001,0.1499999999999999,93,0.5806451612903226,0.9126899215264084,0.5,0.08333333333333333,0.14285714285714285,4,24
0.1,Fold 3,0.9,0.09999999999999998,93,0.5806451612903226,0.911535260978563,0.5,0.08333333333333333,0.14285714285714285,4,24
0.1,Fold 3,0.9500000000000001,0.04999999999999993,93,0.5806451612903226,0.9104750389814447,0.5,0.08333333333333333,0.14285714285714285,4,24
0.1,Fold 3,1.0,0.0,93,0.5806451612903226,0.9095103072029609,0.5,0.08333333333333333,0.14285714285714285,4,24
0.3,Fold 1,0.0,1.0,93,0.43010752688172044,1.0484988429486495,0.0,0.0,0.0,0,26
0.3,Fold 1,0.05,0.95,93,0.43010752688172044,1.0485452031302025,0.0,0.0,0.0,0,26
0.3,Fold 1,0.1,0.9,93,0.43010752688172044,1.0486582174093617,0.0,0.0,0.0,0,26
0.3,Fold 1,0.15000000000000002,0.85,93,0.43010752688172044,1.048837335188908,0.0,0.0,0.0,0,26
0.3,Fold 1,0.2,0.8,93,0.43010752688172044,1.0490821477287193,0.0,0.0,0.0,0,26
0.3,Fold 1,0.25,0.75,93,0.43010752688172044,1.049392379652585,0.0,0.0,0.0,0,26
0.3,Fold 1,0.30000000000000004,0.7,93,0.43010752688172044,1.0497678823783778,0.0,0.0,0.0,0,26
0.3,Fold 1,0.35000000000000003,0.6499999999999999,93,0.44086021505376344,1.0502086292280919,0.0,0.0,0.0,0,26
0.3,Fold 1,0.4,0.6,93,0.44086021505376344,1.0507147120355658,0.0,0.0,0.0,0,26
0.3,Fold 1,0.45,0.55,93,0.44086021505376344,1.0512863391200278,0.0,0.0,0.0,0,26
0.3,Fold 1,0.5,0.5,93,0.44086021505376344,1.0519238345360684,0.0,0.0,0.0,0,26
0.3,Fold 1,0.55,0.44999999999999996,93,0.44086021505376344,1.0526276385478361,0.0,0.0,0.0,0,26
0.3,Fold 1,0.6000000000000001,0.3999999999999999,93,0.43010752688172044,1.053398309309148,0.0,0.0,0.0,0,26
0.3,Fold 1,0.65,0.35,93,0.40860215053763443,1.054236525763644,0.0,0.0,0.0,0,26
0.3,Fold 1,0.7000000000000001,0.29999999999999993,93,0.40860215053763443,1.0551430918116254,0.0,0.0,0.0,0,26
0.3,Fold 1,0.75,0.25,93,0.40860215053763443,1.05611894182453,0.0,0.0,0.0,0,26
0.3,Fold 1,0.8,0.19999999999999996,93,0.40860215053763443,1.0571651476257466,0.0,0.0,0.0,0,26
0.3,Fold 1,0.8500000000000001,0.1499999999999999,93,0.40860215053763443,1.0582829270997411,0.0,0.0,0.0,0,26
0.3,Fold 1,0.9,0.09999999999999998,93,0.41935483870967744,1.059473654642643,0.0,0.0,0.0,0,26
0.3,Fold 1,0.9500000000000001,0.04999999999999993,93,0.41935483870967744,1.060738873729651,0.0,0.0,0.0,0,26
0.3,Fold 1,1.0,0.0,93,0.40860215053763443,1.0620803119518725,0.0,0.0,0.0,1,26
0.3,Fold 2,0.0,1.0,93,0.44086021505376344,1.0506892230780502,0.0,0.0,0.0,0,28
