temperature,logloss
0.5,0.9363000586219301
0.55,0.9204689821857742
0.6000000000000001,0.9103804232562446
0.6500000000000001,0.9043274640067518
0.7000000000000002,0.9011402163872844
0.7500000000000002,0.9000012315886481
0.8000000000000003,0.9003303268627202
0.8500000000000003,0.9017104441444067
0.9000000000000004,0.9038386658088455
0.9500000000000004,0.9064931364971854
1.0000000000000004,0.9095103072029609
1.0500000000000005,0.9127690285015978
1.1000000000000005,0.9161792761455616
1.1500000000000006,0.9196740622098458
1.2000000000000006,0.9232035690003155
1.2500000000000007,0.9267308540490901
1.3000000000000007,0.9302286784273198
1.3500000000000008,0.9336771465692691
1.4000000000000008,0.9370619378595986
1.4500000000000008,0.9403729734258983
1.5000000000000009,0.9436034054920747
1.550000000000001,0.9467488475093068
1.600000000000001,0.9498067851925027
1.650000000000001,0.9527761242937564
1.700000000000001,0.9556568422969185
1.750000000000001,0.9584497194907701
1.8000000000000012,0.9611561309528848
1.8500000000000012,0.963777885467717
1.9000000000000012,0.9663171007451186
1.9500000000000013,0.9687761068085105
2.0000000000000013,0.9711573713070583
2.0500000000000016,0.9734634419336535
2.1000000000000014,0.9756969022169738
2.1500000000000012,0.9778603377867555
2.2000000000000015,0.9799563108497478
2.2500000000000018,0.981987341106258
2.3000000000000016,0.9839558917186796
2.3500000000000014,0.9858643592399696
2.4000000000000017,0.9877150666414588
2.450000000000002,0.9895102587605269
2.5000000000000018,0.9912520996309
2.5500000000000016,0.9929426712703361
2.600000000000002,0.9945839735888596
2.650000000000002,0.9961779251506778
2.700000000000002,0.9977263645783717
2.7500000000000018,0.999231052432046
2.800000000000002,1.0006936734311653
2.8500000000000023,1.0021158389147677
2.900000000000002,1.0034990894580311
2.950000000000002,1.004844897580952
3.000000000000002,1.0061546704991224
