alpha,fold,period,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1
0.1,Fold 1,validation,278,0.5359712230215827,1.0071816372901743,0.0,0.0,0.0
0.1,Fold 1,test,278,0.49280575539568344,1.0272579564289026,0.0,0.0,0.0
0.1,Fold 2,validation,278,0.5107913669064749,1.0161561805196255,0.0,0.0,0.0
0.1,Fold 2,test,278,0.5323741007194245,1.0177022884451274,0.0,0.0,0.0
0.3,Fold 1,validation,278,0.5359712230215827,1.0117205587061773,0.0,0.0,0.0
0.3,Fold 1,test,278,0.4892086330935252,1.0265567111559515,0.0,0.0,0.0
0.3,Fold 2,validation,278,0.49640287769784175,1.0165960457895424,0.0,0.0,0.0
0.3,Fold 2,test,278,0.5323741007194245,1.0141014439416798,0.0,0.0,0.0
1.0,Fold 1,validation,278,0.539568345323741,1.0166574513735642,0.0,0.0,0.0
1.0,Fold 1,test,278,0.49640287769784175,1.0282219287502576,0.0,0.0,0.0
1.0,Fold 2,validation,278,0.5,1.0204392148082955,0.0,0.0,0.0
1.0,Fold 2,test,278,0.5215827338129496,1.0109070133735705,0.0,0.0,0.0
