fold,draw_weight,train_size,validation_size,test_size,train_start,train_end,validation_start,validation_end,test_start,test_end,features_count,best_iteration,validation_accuracy,validation_log_loss,validation_draw_precision,validation_draw_recall,validation_draw_f1,test_accuracy,test_log_loss,test_draw_precision,test_draw_recall,test_draw_f1,test_predicted_draws,test_actual_draws,test_correct_draws,test_home_accuracy,test_away_accuracy
Fold 1,1.0,926,93,185,2024-08-15 17:00:00,2025-01-18 18:00:00,2025-01-18 19:45:00,2025-02-01 17:00:00,2025-02-01 17:30:00,2025-03-01 14:30:00,60,48,0.40860215053763443,1.0620803119518727,0.0,0.0,0.0,0.518918918918919,0.9940354814764376,0.0,0.0,0.0,0,44,0,0.7875,0.5409836065573771
Fold 2,1.0,1204,93,185,2024-08-15 17:00:00,2025-03-01 14:30:00,2025-03-01 14:30:00,2025-03-15 17:00:00,2025-03-15 17:30:00,2025-04-19 14:00:00,60,44,0.46236559139784944,1.0577506946134505,0.0,0.0,0.0,0.5405405405405406,1.004538915839001,0.0,0.0,0.0,0,43,0,0.7948717948717948,0.59375
Fold 3,1.0,1482,93,185,2024-08-15 17:00:00,2025-04-19 14:00:00,2025-04-19 14:00:00,2025-05-03 12:00:00,2025-05-03 13:00:00,2026-08-16 17:00:00,60,273,0.5806451612903226,0.9095103072029609,0.5,0.08333333333333333,0.14285714285714285,0.5081081081081081,1.0147526115443672,0.5,0.07894736842105263,0.13636363636363635,6,38,3,0.6619718309859155,0.5789473684210527
Fold 1,1.1,926,93,185,2024-08-15 17:00:00,2025-01-18 18:00:00,2025-01-18 19:45:00,2025-02-01 17:00:00,2025-02-01 17:30:00,2025-03-01 14:30:00,60,29,0.43010752688172044,1.065699413548728,0.0,0.0,0.0,0.5243243243243243,1.008457316349073,0.0,0.0,0.0,0,44,0,0.8,0.5409836065573771
Fold 2,1.1,1204,93,185,2024-08-15 17:00:00,2025-03-01 14:30:00,2025-03-01 14:30:00,2025-03-15 17:00:00,2025-03-15 17:30:00,2025-04-19 14:00:00,60,43,0.45161290322580644,1.0524939336966253,0.0,0.0,0.0,0.5351351351351351,1.0102455915334596,0.0,0.0,0.0,0,43,0,0.8076923076923077,0.5625
Fold 3,1.1,1482,93,185,2024-08-15 17:00:00,2025-04-19 14:00:00,2025-04-19 14:00:00,2025-05-03 12:00:00,2025-05-03 13:00:00,2026-08-16 17:00:00,60,119,0.5806451612903226,0.9216916095950846,0.5,0.041666666666666664,0.07692307692307693,0.4810810810810811,1.0185429069470349,0.25,0.02631578947368421,0.047619047619047616,4,38,1,0.6619718309859155,0.5394736842105263
