alpha,fold,catboost_weight,poisson_weight,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1,predicted_draws,actual_draws
0.1,Fold 1,0.0,1.0,185,0.5837837837837838,0.9903824558184424,0.0,0.0,0.0,0,44
0.1,Fold 1,0.05,0.95,185,0.5783783783783784,0.989664289425547,0.0,0.0,0.0,0,44
0.1,Fold 1,0.1,0.9,185,0.5675675675675675,0.989038360952499,0.0,0.0,0.0,0,44
0.1,Fold 1,0.15000000000000002,0.85,185,0.5567567567567567,0.9885041773478136,0.0,0.0,0.0,0,44
0.1,Fold 1,0.2,0.8,185,0.5567567567567567,0.988061456887886,0.0,0.0,0.0,0,44
0.1,Fold 1,0.25,0.75,185,0.5459459459459459,0.9877101244994292,0.0,0.0,0.0,0,44
0.1,Fold 1,0.30000000000000004,0.7,185,0.5405405405405406,0.9874503096471634,0.0,0.0,0.0,0,44
0.1,Fold 1,0.35000000000000003,0.6499999999999999,185,0.5405405405405406,0.9872823466886063,0.0,0.0,0.0,0,44
0.1,Fold 1,0.4,0.6,185,0.5459459459459459,0.9872067776739167,0.0,0.0,0.0,0,44
0.1,Fold 1,0.45,0.55,185,0.5513513513513514,0.98722435764257,0.0,0.0,0.0,0,44
0.1,Fold 1,0.5,0.5,185,0.5459459459459459,0.9873360625443113,0.0,0.0,0.0,0,44
0.1,Fold 1,0.55,0.44999999999999996,185,0.5459459459459459,0.9875430999936384,0.0,0.0,0.0,0,44
0.1,Fold 1,0.6000000000000001,0.3999999999999999,185,0.5405405405405406,0.9878469231597355,0.0,0.0,0.0,0,44
0.1,Fold 1,0.65,0.35,185,0.5459459459459459,0.9882492482030603,0.0,0.0,0.0,0,44
0.1,Fold 1,0.7000000000000001,0.29999999999999993,185,0.5405405405405406,0.9887520758028558,0.0,0.0,0.0,0,44
0.1,Fold 1,0.75,0.25,185,0.5351351351351351,0.9893577174862648,0.0,0.0,0.0,0,44
0.1,Fold 1,0.8,0.19999999999999996,185,0.5297297297297298,0.9900688276823496,0.0,0.0,0.0,0,44
0.1,Fold 1,0.8500000000000001,0.1499999999999999,185,0.5297297297297298,0.9908884427011144,0.0,0.0,0.0,0,44
0.1,Fold 1,0.9,0.09999999999999998,185,0.5243243243243243,0.9918200282040356,0.0,0.0,0.0,0,44
0.1,Fold 1,0.9500000000000001,0.04999999999999993,185,0.518918918918919,0.9928675372253496,0.0,0.0,0.0,0,44
0.1,Fold 1,1.0,0.0,185,0.518918918918919,0.9940354814764374,0.0,0.0,0.0,0,44
0.1,Fold 2,0.0,1.0,185,0.5297297297297298,0.9971741040767839,0.0,0.0,0.0,0,43
0.1,Fold 2,0.05,0.95,185,0.5297297297297298,0.9968752834209236,0.0,0.0,0.0,0,43
0.1,Fold 2,0.1,0.9,185,0.5351351351351351,0.9966444992359387,0.0,0.0,0.0,0,43
0.1,Fold 2,0.15000000000000002,0.85,185,0.5351351351351351,0.9964817247113857,0.0,0.0,0.0,0,43
0.1,Fold 2,0.2,0.8,185,0.5297297297297298,0.9963870199312356,0.0,0.0,0.0,0,43
0.1,Fold 2,0.25,0.75,185,0.5351351351351351,0.9963605316983081,0.0,0.0,0.0,0,43
0.1,Fold 2,0.30000000000000004,0.7,185,0.5405405405405406,0.9964024940037485,0.0,0.0,0.0,0,43
0.1,Fold 2,0.35000000000000003,0.6499999999999999,185,0.5459459459459459,0.9965132291384605,0.0,0.0,0.0,0,43
0.1,Fold 2,0.4,0.6,185,0.5459459459459459,0.9966931494567963,0.0,0.0,0.0,0,43
0.1,Fold 2,0.45,0.55,185,0.5513513513513514,0.9969427598163002,0.0,0.0,0.0,0,43
0.1,Fold 2,0.5,0.5,185,0.5513513513513514,0.997262660731435,0.0,0.0,0.0,0,43
0.1,Fold 2,0.55,0.44999999999999996,185,0.5513513513513514,0.9976535522945769,0.0,0.0,0.0,0,43
0.1,Fold 2,0.6000000000000001,0.3999999999999999,185,0.5459459459459459,0.9981162389347996,0.0,0.0,0.0,0,43
0.1,Fold 2,0.65,0.35,185,0.5405405405405406,0.9986516351048359,0.0,0.0,0.0,0,43
0.1,Fold 2,0.7000000000000001,0.29999999999999993,185,0.5459459459459459,0.999260772010039,0.0,0.0,0.0,0,43
0.1,Fold 2,0.75,0.25,185,0.5351351351351351,0.9999448055213563,0.0,0.0,0.0,0,43
0.1,Fold 2,0.8,0.19999999999999996,185,0.5351351351351351,1.0007050254487755,0.0,0.0,0.0,0,43
0.1,Fold 2,0.8500000000000001,0.1499999999999999,185,0.5405405405405406,1.0015428663943915,0.0,0.0,0.0,0,43
0.1,Fold 2,0.9,0.09999999999999998,185,0.5405405405405406,1.0024599204578681,0.0,0.0,0.0,0,43
