method,mean_accuracy,mean_logloss,mean_brier_draw,mean_p_draw_actual_draws,mean_max_p_draw_actual_draws,mean_predicted_draws,total_predicted_draws,total_actual_draws
baseline,0.5225225225225225,1.259426894025512,0.17454286988992726,0.2678650235011611,0.35605563729500983,2.0,6,125
calibrated,0.5225225225225225,1.1364348438776921,0.18101143154724686,0.31309642238158736,0.3421169309956764,2.0,6,125
