fold,method,train_size,validation_size,test_size,best_iteration,temperature,accuracy,logloss,brier_draw,mean_p_draw_actual_draws,max_p_draw_actual_draws,predicted_draws,actual_draws
1,baseline,926,93,185,48,1.0,0.518918918918919,1.2579577277307872,0.18029993023982033,0.2653631010731518,0.3273655685658654,0,44
1,calibrated,926,93,185,48,3.000000000000002,0.518918918918919,1.1389706395229766,0.18618771719529356,0.3115447752846024,0.33286897344488586,0,44
2,baseline,1204,93,185,44,1.0,0.5405405405405406,1.233369456197162,0.17891224514745918,0.26693487002470523,0.3276966741451913,0,43
2,calibrated,1204,93,185,44,3.000000000000002,0.5405405405405406,1.1315260079784775,0.18411418670813937,0.3128225021572259,0.3326192552036476,0,43
3,baseline,1482,93,185,273,1.0,0.5081081081081081,1.2869534981485866,0.16441643428250227,0.2712970994056262,0.41310466917397276,6,38
3,calibrated,1482,93,185,273,3.000000000000002,0.5081081081081081,1.1388078841316225,0.17273239073830765,0.31492198970293384,0.36086256433849573,6,38
