alpha,catboost_weight,poisson_weight,mean_accuracy,mean_logloss,mean_draw_precision,mean_draw_recall,mean_draw_f1,mean_predicted_draws
0.1,0.0,1.0,0.5333333333333333,1.0109618672629208,0.0,0.0,0.0,0.0
0.1,0.05,0.95,0.5297297297297298,1.00843347779226,0.0,0.0,0.0,0.0
0.1,0.1,0.9,0.5297297297297298,1.0063859621304292,0.0,0.0,0.0,0.0
0.1,0.15000000000000002,0.85,0.527927927927928,1.0046834341548807,0.0,0.0,0.0,0.0
0.1,0.2,0.8,0.5297297297297298,1.0032552905984318,0.0,0.0,0.0,0.0
0.1,0.25,0.75,0.5297297297297298,1.002059667902669,0.0,0.0,0.0,0.0
0.1,0.30000000000000004,0.7,0.527927927927928,1.0010696823909215,0.0,0.0,0.0,0.0
0.1,0.35000000000000003,0.6499999999999999,0.527927927927928,1.0002671852250504,0.0,0.0,0.0,0.3333333333333333
0.1,0.4,0.6,0.527927927927928,0.9996395630419364,0.0,0.0,0.0,0.3333333333333333
0.1,0.45,0.55,0.5297297297297298,0.9991779546658971,0.0,0.0,0.0,0.3333333333333333
0.1,0.5,0.5,0.5261261261261262,0.998876196003422,0.0,0.0,0.0,0.6666666666666666
0.1,0.55,0.44999999999999996,0.5261261261261262,0.9987301705945483,0.0,0.0,0.0,0.6666666666666666
0.1,0.6000000000000001,0.3999999999999999,0.5243243243243243,0.9987374024605865,0.1111111111111111,0.008771929824561403,0.016260162601626015,1.0
0.1,0.65,0.35,0.5261261261261262,0.9988968039314696,0.1111111111111111,0.008771929824561403,0.016260162601626015,1.0
0.1,0.7000000000000001,0.29999999999999993,0.5261261261261262,0.9992085305730569,0.1111111111111111,0.008771929824561403,0.016260162601626015,1.0
0.1,0.75,0.25,0.518918918918919,0.9996739176718833,0.08333333333333333,0.008771929824561403,0.015873015873015876,1.3333333333333333
0.1,0.8,0.19999999999999996,0.5171171171171172,1.0002954870123524,0.06666666666666667,0.008771929824561403,0.015503875968992248,1.6666666666666667
0.1,0.8500000000000001,0.1499999999999999,0.518918918918919,1.0010770236934576,0.06666666666666667,0.008771929824561403,0.015503875968992248,1.6666666666666667
0.1,0.9,0.09999999999999998,0.5207207207207207,1.0020237337306777,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
0.1,0.9500000000000001,0.04999999999999993,0.518918918918919,1.0031425074626192,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
0.1,1.0,0.0,0.5225225225225225,1.004442336286602,0.16666666666666666,0.02631578947368421,0.04545454545454545,2.0
0.3,0.0,1.0,0.5225225225225225,1.006642931751292,0.0,0.0,0.0,0.0
0.3,0.05,0.95,0.527927927927928,1.0053022726472516,0.0,0.0,0.0,0.0
0.3,0.1,0.9,0.5315315315315315,1.0041002457770327,0.0,0.0,0.0,0.0
0.3,0.15000000000000002,0.85,0.5261261261261262,1.0030319266329546,0.0,0.0,0.0,0.0
0.3,0.2,0.8,0.5225225225225225,1.002093616449211,0.0,0.0,0.0,0.0
0.3,0.25,0.75,0.5153153153153153,1.001282576243839,0.0,0.0,0.0,0.0
0.3,0.30000000000000004,0.7,0.5135135135135135,1.000596851258411,0.0,0.0,0.0,0.0
0.3,0.35000000000000003,0.6499999999999999,0.5171171171171172,1.00003515356276,0.0,0.0,0.0,0.3333333333333333
0.3,0.4,0.6,0.5243243243243243,0.9995967841349391,0.0,0.0,0.0,0.3333333333333333
0.3,0.45,0.55,0.518918918918919,0.9992815832859817,0.0,0.0,0.0,0.6666666666666666
0.3,0.5,0.5,0.5207207207207207,0.9990899027794956,0.0,0.0,0.0,0.6666666666666666
0.3,0.55,0.44999999999999996,0.5207207207207207,0.9990225958416711,0.0,0.0,0.0,0.6666666666666666
0.3,0.6000000000000001,0.3999999999999999,0.5225225225225225,0.999081023238675,0.0,0.0,0.0,0.6666666666666666
0.3,0.65,0.35,0.527927927927928,0.9992670751683569,0.1111111111111111,0.008771929824561403,0.016260162601626015,1.0
0.3,0.7000000000000001,0.29999999999999993,0.5243243243243243,0.9995832101829977,0.08333333333333333,0.008771929824561403,0.015873015873015876,1.3333333333333333
0.3,0.75,0.25,0.5207207207207207,1.0000325140036008,0.06666666666666667,0.008771929824561403,0.015503875968992248,1.6666666666666667
0.3,0.8,0.19999999999999996,0.518918918918919,1.0006187832264548,0.06666666666666667,0.008771929824561403,0.015503875968992248,1.6666666666666667
0.3,0.8500000000000001,0.1499999999999999,0.5225225225225225,1.0013466420377348,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
0.3,0.9,0.09999999999999998,0.5207207207207207,1.0022217049601712,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
0.3,0.9500000000000001,0.04999999999999993,0.5171171171171172,1.0032508068878632,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
0.3,1.0,0.0,0.5225225225225225,1.004442336286602,0.16666666666666666,0.02631578947368421,0.04545454545454545,2.0
