model,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,test_accuracy,test_log_loss
optimized,300,7,0.05,7,1.0,1.0,0.5071942446043165,1.0014205988864007
baseline,500,6,0.05,3,1.0,1.0,0.5035971223021583,1.0096029559674131
