iterations,test_accuracy,test_log_loss,elapsed_seconds,features,train_rows,test_rows
150,0.5539568345323741,0.9870545957114079,1.63,79,1575,278
194,0.5359712230215827,0.989942858302189,2.08,79,1575,278
100,0.5323741007194245,0.9900042248357344,1.26,79,1575,278
250,0.5323741007194245,0.9903416929591741,2.7,79,1575,278
300,0.5287769784172662,0.9920269799080744,3.25,79,1575,278
400,0.5287769784172662,0.9958089811659009,4.25,79,1575,278
500,0.5323741007194245,1.0004217407980078,5.28,79,1575,278
