model,accuracy,logloss,ece,mce,predicted_draws,mean_confidence
CatBoost_baseline,0.539568345323741,1.0656431519580862,0.17635636337202426,0.4154024221611219,0,0.36321198195171667
CatBoost_T0.15,0.539568345323741,0.9856696737097587,0.07154797236994148,0.1919967107665589,0,0.5385793556056606
