model,class,actual_count,predicted_count,recall,precision,mean_probability_on_actual
CatBoost_baseline,A,105,107,0.5619047619047619,0.5514018691588785,0.34234207850714954
CatBoost_baseline,D,58,0,0.0,,0.31582907338782407
CatBoost_baseline,H,115,171,0.7913043478260869,0.5321637426900585,0.3634358677202956
CatBoost_T0.15,A,105,107,0.5619047619047619,0.5514018691588785,0.39159677847830615
CatBoost_T0.15,D,58,0,0.0,,0.21953639274967068
CatBoost_T0.15,H,115,171,0.7913043478260869,0.5321637426900585,0.5370856003343635
