market,odds,implied_probability,matches,value_matches,value_rate,mean_model_probability,mean_fair_odds,mean_edge,mean_ev
home,1.3,0.7692307692307692,278,0,0.0,0.46482854000800766,2.49366050663509,-0.30440222922276156,-0.39572289798959015
home,1.4,0.7142857142857143,278,11,0.039568345323741004,0.46482854000800766,2.49366050663509,-0.24945717427770667,-0.34924004398878944
home,1.5,0.6666666666666666,278,29,0.10431654676258993,0.46482854000800766,2.49366050663509,-0.20183812665865905,-0.3027571899879886
home,1.6,0.625,278,46,0.16546762589928057,0.46482854000800766,2.49366050663509,-0.16017145999199242,-0.2562743359871878
home,1.7,0.5882352941176471,278,56,0.2014388489208633,0.46482854000800766,2.49366050663509,-0.12340675410963946,-0.2097914819863871
home,1.8,0.5555555555555556,278,66,0.23741007194244604,0.46482854000800766,2.49366050663509,-0.09072701554754799,-0.16330862798558632
home,2.0,0.5,278,90,0.3237410071942446,0.46482854000800766,2.49366050663509,-0.0351714599919924,-0.0703429199839848
draw,2.8,0.35714285714285715,278,0,0.0,0.2065682023978468,5.189429410990733,-0.1505746547450104,-0.42160903328602906
draw,3.0,0.3333333333333333,278,0,0.0,0.2065682023978468,5.189429410990733,-0.12676513093548655,-0.38029539280645963
draw,3.2,0.3125,278,0,0.0,0.2065682023978468,5.189429410990733,-0.10593179760215322,-0.3389817523268903
draw,3.4,0.29411764705882354,278,0,0.0,0.2065682023978468,5.189429410990733,-0.08754944466097676,-0.297668111847321
draw,3.6,0.2777777777777778,278,0,0.0,0.2065682023978468,5.189429410990733,-0.07120957537993101,-0.25635447136775164
draw,4.0,0.25,278,0,0.0,0.2065682023978468,5.189429410990733,-0.043431797602153224,-0.1737271904086129
away,1.5,0.6666666666666666,278,0,0.0,0.3286032575941456,3.8647468812519037,-0.338063409072521,-0.5070951136087817
away,1.7,0.5882352941176471,278,0,0.0,0.3286032575941456,3.8647468812519037,-0.25963203652350153,-0.4413744620899526
away,1.9,0.5263157894736842,278,12,0.04316546762589928,0.3286032575941456,3.8647468812519037,-0.1977125318795386,-0.37565381057112346
away,2.1,0.47619047619047616,278,28,0.10071942446043165,0.3286032575941456,3.8647468812519037,-0.14758721859633062,-0.30993315905229435
away,2.3,0.4347826086956522,278,47,0.16906474820143885,0.3286032575941456,3.8647468812519037,-0.10617935110150667,-0.24421250753346527
away,2.5,0.4,278,47,0.16906474820143885,0.3286032575941456,3.8647468812519037,-0.07139674240585446,-0.1784918560146361
away,3.0,0.3333333333333333,278,47,0.16906474820143885,0.3286032575941456,3.8647468812519037,-0.004730075739187761,-0.014190227217563339
